Referencia;Categoria;Endereco;Endereco Numero;Endereco Complemento;Dormitorio;Valor venda;Valor Aluguel;Bairro Comercial;Empreendimento;Valor M2 Aluguel;Valor M2 venda;Valor total aluguel;Data cadastro;Data atualizacao;Equipes do Imovel;Corretores do Imovel;Nome;Publicar Viva Real VRSync;Publicar Viva Real VRSync 2;Status;Area Privativa;Tem Placa;Vagas;Suite;Ano de Construção;Lançamento
Excelente oportunidade;Cobertura;Av. Paulista;629.0;Av. Angélica;1.0;237500.0;0.0;Pinheiros;Moderno e funcional;0.0;71.621.621.621.622;300.0;15/12/2016;14/01/2017;;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;37.0;Moderno e funcional;1.0;0.0;0;Excelente oportunidade
Excelente oportunidade;Sobrado;Av. Paulista;140.0;Rua Oscar Freire;2.0;860800.0;0.0;Pinheiros;Excelente oportunidade;0.0;10.054.945.054.945;1200.0;17/12/2016;16/01/2017;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;Excelente oportunidade;103.0;Moderno e funcional;1.0;0.0;0;Totalmente reformado
Excelente oportunidade;Ponto Comercial;Rua Bela Cintra;533.0;Rua Bela Cintra;2.0;0.0;1800.0;Higienópolis;Espaçoso e iluminado;3.695.652.173.913;0.0;1900.0;20/12/2016;19/01/2017;;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;46.0;Totalmente reformado;1.0;0.0;0;Moderno e funcional
Excelente oportunidade;Ponto Comercial;Rua Oscar Freire;533.0;Av. Ipiranga;2.0;311600.0;0.0;Pinheiros;Moderno e funcional;0.0;64.130.434.782.609;400.0;23/12/2016;22/01/2017;;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Espaçoso e iluminado;50.0;Espaçoso e iluminado;1.0;0.0;0;Moderno e funcional
Totalmente reformado;Ponto Comercial;Av. Angélica;2615.0;Av. Angélica;2.0;1016700.0;0.0;Pinheiros;Totalmente reformado;0.0;14.594.594.594.595;1100.0;26/12/2016;25/01/2017;;Excelente oportunidade;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;Totalmente reformado;71.0;Excelente oportunidade;1.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Sobrado;Rua Oscar Freire;1332.0;Av. Angélica;3.0;1307000.0;0.0;Moema;Totalmente reformado;0.0;10.298.507.462.687;3400.0;29/12/2016;28/01/2017;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;130.0;Totalmente reformado;1.0;1.0;1972;Espaçoso e iluminado
Totalmente reformado;Studio;Rua Oscar Freire;500.0;Rua Bela Cintra;3.0;1814500.0;0.0;Moema;Espaçoso e iluminado;0.0;8900.0;3400.0;01/01/2017;31/01/2017;;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;197.0;Imóvel bem localizado;3.0;3.0;0;Imóvel bem localizado
Moderno e funcional;Studio;Rua Augusta;800.0;Av. Ipiranga;3.0;1231700.0;0.0;Vila Mariana;Excelente oportunidade;0.0;10.452.991.452.991;1100.0;04/01/2017;03/02/2017;;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;109.0;Excelente oportunidade;2.0;1.0;0;Excelente oportunidade
Totalmente reformado;Cobertura;Av. Paulista;75.0;Av. Ipiranga;2.0;468300.0;0.0;Higienópolis;;0.0;34.480.454.545.455;100.0;07/01/2017;06/02/2017;;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;176.0;Totalmente reformado;2.0;0.0;0;Espaçoso e iluminado
Excelente oportunidade;Ponto Comercial;Av. Ipiranga;237.0;Av. Angélica;1.0;302800.0;0.0;Tatuapé;Totalmente reformado;0.0;10.852.959.871.801;400.0;10/01/2017;09/02/2017;;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;Totalmente reformado;33.0;Moderno e funcional;0.0;0.0;0;Totalmente reformado
Excelente oportunidade;Cobertura;Av. Paulista;323.0;Av. Ipiranga;1.0;0.0;2400.0;Tatuapé;;52.380.952.380.952;0.0;2800.0;13/01/2017;12/02/2017;;Moderno e funcional;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;Totalmente reformado;38.0;Espaçoso e iluminado;1.0;0.0;0;Excelente oportunidade
Moderno e funcional;Studio;Rua Bela Cintra;572.0;Av. Ipiranga;1.0;0.0;4200.0;Moema;;33.333.333.333.333;0.0;3500.0;16/01/2017;15/02/2017;;Moderno e funcional;Excelente oportunidade;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;115.0;Totalmente reformado;4.0;0.0;0;Imóvel bem localizado
Moderno e funcional;Cobertura;Rua Oscar Freire;340.0;Av. Ipiranga;5.0;3807100.0;0.0;Higienópolis;Espaçoso e iluminado;0.0;81.395.348.837.209;4700.0;19/01/2017;18/02/2017;;Excelente oportunidade;Moderno e funcional;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;400.0;Espaçoso e iluminado;4.0;5.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Cobertura;Av. Paulista;323.0;Rua Bela Cintra;1.0;0.0;2200.0;Pinheiros;;57.142.857.142.857;0.0;2800.0;22/01/2017;21/02/2017;;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;40.0;Espaçoso e iluminado;1.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Cobertura;Av. Paulista;525.0;Av. Ipiranga;2.0;337800.0;0.0;Pinheiros;Espaçoso e iluminado;0.0;75.576.923.076.923;700.0;24/01/2017;23/02/2017;;Moderno e funcional;Moderno e funcional;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;55.0;Imóvel bem localizado;1.0;1.0;0;Espaçoso e iluminado
Imóvel bem localizado;Studio;Rua Augusta;450.0;Av. Ipiranga;3.0;1150100.0;0.0;Tatuapé;;0.0;47.307.692.307.692;200.0;27/01/2017;26/02/2017;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;Totalmente reformado;304.0;Excelente oportunidade;2.0;3.0;0;Totalmente reformado
Espaçoso e iluminado;Apartamento;Rua Oscar Freire;1111.0;Av. Angélica;0.0;0.0;2100.0;Tatuapé;;100.0;0.0;2400.0;30/01/2017;01/03/2017;;Imóvel bem localizado;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;42.0;Excelente oportunidade;1.0;0.0;0;Excelente oportunidade
Espaçoso e iluminado;Studio;Rua Augusta;748.0;Av. Paulista;3.0;1177600.0;0.0;Santa Cecília;Totalmente reformado;0.0;14.117.647.058.824;1400.0;02/02/2017;04/03/2017;Moderno e funcional;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;97.0;Excelente oportunidade;2.0;1.0;2000;Totalmente reformado
Imóvel bem localizado;Studio;Rua Augusta;1111.0;Rua Augusta;0.0;0.0;2100.0;Higienópolis;;100.0;0.0;3200.0;05/02/2017;07/03/2017;;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;Excelente oportunidade;42.0;Moderno e funcional;1.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Ponto Comercial;Rua Bela Cintra;1237.0;Av. Paulista;1.0;0.0;1100.0;Higienópolis;;0.0;0.0;1100.0;08/02/2017;10/03/2017;;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;Imóvel bem localizado;25.0;Excelente oportunidade;0.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Casa;Rua Augusta;120.0;Rua Bela Cintra;2.0;572700.0;0.0;Pinheiros;Imóvel bem localizado;0.0;7.910.447.761.194;700.0;11/02/2017;13/03/2017;;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;62.0;Imóvel bem localizado;1.0;1.0;0;Imóvel bem localizado
Excelente oportunidade;Ponto Comercial;Rua Augusta;1162.0;Av. Angélica;2.0;743000.0;0.0;Pinheiros;;0.0;76.666.666.666.667;1100.0;14/02/2017;16/03/2017;;Moderno e funcional;Moderno e funcional;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;82.0;Espaçoso e iluminado;1.0;0.0;0;Espaçoso e iluminado
Imóvel bem localizado;Studio;Av. Angélica;935.0;Av. Ipiranga;4.0;1435700.0;0.0;Pinheiros;;0.0;69.060.773.480.663;700.0;17/02/2017;19/03/2017;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;Totalmente reformado;183.0;Espaçoso e iluminado;4.0;5.0;0;Imóvel bem localizado
Totalmente reformado;Ponto Comercial;Rua Augusta;100.0;Rua Oscar Freire;3.0;463300.0;0.0;Tatuapé;Excelente oportunidade;0.0;72.803.751.820.405;700.0;20/02/2017;22/03/2017;;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;60.0;Excelente oportunidade;1.0;0.0;0;Totalmente reformado
Moderno e funcional;Studio;Av. Ipiranga;327.0;Av. Paulista;3.0;3585100.0;0.0;Vila Mariana;;0.0;61.538.461.538.462;2900.0;23/02/2017;25/03/2017;;Moderno e funcional;Moderno e funcional;Excelente oportunidade;Moderno e funcional;Moderno e funcional;717.0;Imóvel bem localizado;4.0;3.0;0;Totalmente reformado
Moderno e funcional;Apartamento;Av. Paulista;1149.0;Rua Oscar Freire;0.0;0.0;12600.0;Tatuapé;;100.0;0.0;13900.0;26/02/2017;28/03/2017;;Excelente oportunidade;Totalmente reformado;Moderno e funcional;Excelente oportunidade;Moderno e funcional;153.0;Excelente oportunidade;5.0;0.0;0;Espaçoso e iluminado
Moderno e funcional;Sobrado;Av. Paulista;818.0;Rua Bela Cintra;1.0;738100.0;0.0;Vila Mariana;;0.0;51.333.333.333.333;300.0;01/03/2017;31/03/2017;;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;139.0;Totalmente reformado;2.0;0.0;0;Excelente oportunidade
Moderno e funcional;Ponto Comercial;Rua Oscar Freire;573.0;Rua Oscar Freire;3.0;0.0;2300.0;Vila Mariana;Excelente oportunidade;16.666.666.666.667;0.0;3100.0;03/03/2017;02/04/2017;;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;135.0;Totalmente reformado;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Ponto Comercial;Av. Angélica;99.0;Rua Oscar Freire;3.0;365800.0;0.0;Tatuapé;;0.0;59.859.154.929.577;0.0;06/03/2017;05/04/2017;;Espaçoso e iluminado;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;81.0;Excelente oportunidade;2.0;0.0;0;Excelente oportunidade
Moderno e funcional;Ponto Comercial;Rua Augusta;90.0;Av. Angélica;3.0;1095100.0;0.0;Tatuapé;;0.0;5300.0;500.0;09/03/2017;08/04/2017;;Totalmente reformado;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;Totalmente reformado;205.0;Excelente oportunidade;2.0;3.0;0;Imóvel bem localizado
Imóvel bem localizado;Studio;Av. Ipiranga;318.0;Rua Oscar Freire;2.0;606200.0;0.0;Tatuapé;;0.0;33.477.633.477.633;800.0;12/03/2017;11/04/2017;;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;Totalmente reformado;Totalmente reformado;188.0;Excelente oportunidade;3.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Cobertura;Av. Paulista;439.0;Rua Oscar Freire;0.0;0.0;2700.0;Pinheiros;;53.571.428.571.429;0.0;3700.0;15/03/2017;14/04/2017;;Totalmente reformado;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;62.0;Espaçoso e iluminado;0.0;0.0;0;Totalmente reformado
Totalmente reformado;Casa;Rua Augusta;678.0;Av. Angélica;0.0;0.0;1100.0;Vila Mariana;;100.0;0.0;1500.0;18/03/2017;17/04/2017;;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;19.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Sobrado;Av. Ipiranga;1110.0;Rua Augusta;0.0;0.0;24900.0;Moema;;62.222.222.222.222;0.0;29500.0;21/03/2017;20/04/2017;;Moderno e funcional;Imóvel bem localizado;Moderno e funcional;Totalmente reformado;Excelente oportunidade;540.0;Totalmente reformado;10.0;0.0;0;Totalmente reformado
Totalmente reformado;Casa;Rua Oscar Freire;346.0;Rua Augusta;5.0;1513700.0;0.0;Higienópolis;;0.0;5100.0;200.0;24/03/2017;23/04/2017;;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;269.0;Espaçoso e iluminado;5.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Casa;Av. Paulista;190.0;Rua Oscar Freire;2.0;369500.0;0.0;Moema;;0.0;4500.0;200.0;27/03/2017;26/04/2017;;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;Excelente oportunidade;Excelente oportunidade;86.0;Imóvel bem localizado;2.0;0.0;0;Totalmente reformado
Espaçoso e iluminado;Ponto Comercial;Av. Paulista;89.0;Av. Angélica;2.0;276600.0;0.0;Tatuapé;Moderno e funcional;0.0;82.352.941.176.471;300.0;30/03/2017;29/04/2017;;Moderno e funcional;Excelente oportunidade;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;32.0;Espaçoso e iluminado;1.0;0.0;0;Imóvel bem localizado
Moderno e funcional;Cobertura;Rua Augusta;5814.0;Rua Augusta;1.0;265200.0;0.0;Santa Cecília;Imóvel bem localizado;0.0;75.555.555.555.556;300.0;02/04/2017;02/05/2017;;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;39.0;Espaçoso e iluminado;0.0;0.0;2013;Espaçoso e iluminado
Imóvel bem localizado;Studio;Rua Bela Cintra;1200.0;Av. Angélica;2.0;762600.0;0.0;Santa Cecília;Imóvel bem localizado;0.0;11.784.615.384.615;1700.0;05/04/2017;05/05/2017;;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;Moderno e funcional;Totalmente reformado;72.0;Imóvel bem localizado;2.0;1.0;2017;Espaçoso e iluminado
Espaçoso e iluminado;Cobertura;Rua Augusta;357.0;Rua Bela Cintra;2.0;0.0;6800.0;Tatuapé;Imóvel bem localizado;84.269.662.921.348;0.0;8400.0;08/04/2017;08/05/2017;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;101.0;Imóvel bem localizado;2.0;2.0;0;Moderno e funcional
Totalmente reformado;Studio;Rua Bela Cintra;236.0;Rua Augusta;4.0;2569800.0;0.0;Higienópolis;;0.0;9.727.626.459.144;1100.0;11/04/2017;11/05/2017;Moderno e funcional;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;301.0;Espaçoso e iluminado;4.0;1.0;0;Totalmente reformado
Excelente oportunidade;Sobrado;Av. Paulista;200.0;Rua Augusta;4.0;784400.0;0.0;Vila Mariana;Imóvel bem localizado;0.0;29.518.481.481.481;1900.0;13/04/2017;13/05/2017;;Totalmente reformado;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;277.0;Moderno e funcional;2.0;1.0;0;Totalmente reformado
Moderno e funcional;Apartamento;Av. Ipiranga;2064.0;Rua Bela Cintra;0.0;804700.0;0.0;Vila Mariana;;0.0;13.833.333.333.333;2500.0;16/04/2017;16/05/2017;;Totalmente reformado;Totalmente reformado;Totalmente reformado;Moderno e funcional;Moderno e funcional;63.0;Imóvel bem localizado;1.0;0.0;0;Totalmente reformado
Moderno e funcional;Casa;Rua Augusta;50.0;Av. Paulista;3.0;1538300.0;0.0;Higienópolis;Excelente oportunidade;0.0;14.166.666.666.667;2200.0;19/04/2017;19/05/2017;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;110.0;Moderno e funcional;1.0;1.0;1963;Imóvel bem localizado
Excelente oportunidade;Cobertura;Av. Angélica;4338.0;Av. Angélica;4.0;640800.0;0.0;Moema;;0.0;5100.0;500.0;22/04/2017;22/05/2017;;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;139.0;Imóvel bem localizado;2.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Studio;Rua Bela Cintra;50.0;Rua Bela Cintra;4.0;1313000.0;0.0;Vila Mariana;Totalmente reformado;0.0;74.010.989.010.989;3700.0;25/04/2017;25/05/2017;;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;186.0;Moderno e funcional;3.0;3.0;0;Totalmente reformado
Moderno e funcional;Cobertura;Rua Oscar Freire;544.0;Rua Augusta;2.0;1176600.0;0.0;Pinheiros;Moderno e funcional;0.0;11.428.571.428.571;2100.0;28/04/2017;28/05/2017;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;Excelente oportunidade;Espaçoso e iluminado;121.0;Moderno e funcional;1.0;2.0;0;Imóvel bem localizado
Imóvel bem localizado;Apartamento;Rua Bela Cintra;50.0;Av. Ipiranga;2.0;476800.0;0.0;Moema;;0.0;5700.0;0.0;01/05/2017;31/05/2017;;Totalmente reformado;Totalmente reformado;Moderno e funcional;Totalmente reformado;Totalmente reformado;92.0;Imóvel bem localizado;2.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Sobrado;Rua Augusta;200.0;Rua Oscar Freire;0.0;16086200.0;15000.0;Moema;;100.0;166700.0;17800.0;04/05/2017;03/06/2017;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;96.0;Totalmente reformado;2.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Sobrado;Av. Angélica;29.0;Av. Angélica;3.0;1436400.0;0.0;Tatuapé;Moderno e funcional;0.0;13.164.948.453.608;1300.0;07/05/2017;06/06/2017;;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Totalmente reformado;107.0;Espaçoso e iluminado;1.0;0.0;1980;Totalmente reformado
Totalmente reformado;Studio;Av. Paulista;29.0;Av. Angélica;3.0;0.0;4500.0;Tatuapé;Imóvel bem localizado;43.298.969.072.165;0.0;5700.0;10/05/2017;09/06/2017;;Moderno e funcional;Moderno e funcional;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;101.0;Excelente oportunidade;1.0;0.0;1980;Excelente oportunidade
Excelente oportunidade;Casa;Rua Oscar Freire;401.0;Rua Oscar Freire;3.0;3658800.0;0.0;Moema;;0.0;70.362.473.347.548;2200.0;13/05/2017;12/06/2017;;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Espaçoso e iluminado;Totalmente reformado;465.0;Imóvel bem localizado;4.0;3.0;0;Moderno e funcional
Excelente oportunidade;Sobrado;Rua Augusta;744.0;Av. Angélica;2.0;569600.0;0.0;Higienópolis;Totalmente reformado;0.0;8200.0;1500.0;16/05/2017;15/06/2017;;Moderno e funcional;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;73.0;Espaçoso e iluminado;1.0;0.0;1;Totalmente reformado
Imóvel bem localizado;Casa;Rua Bela Cintra;178.0;Av. Paulista;0.0;0.0;23100.0;Vila Mariana;;0.0;0.0;26900.0;19/05/2017;18/06/2017;;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Totalmente reformado;Espaçoso e iluminado;680.0;Moderno e funcional;2.0;0.0;0;Imóvel bem localizado
Totalmente reformado;Sobrado;Av. Ipiranga;135.0;Av. Angélica;3.0;1524400.0;0.0;Vila Mariana;Imóvel bem localizado;0.0;12600.0;1000.0;21/05/2017;20/06/2017;;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;119.0;Totalmente reformado;2.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Sobrado;Av. Angélica;735.0;Rua Oscar Freire;2.0;0.0;1600.0;Vila Mariana;Espaçoso e iluminado;0.0;0.0;2200.0;24/05/2017;23/06/2017;Imóvel bem localizado;Moderno e funcional;Moderno e funcional;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;47.0;Totalmente reformado;0.0;0.0;0;Imóvel bem localizado
Espaçoso e iluminado;Sobrado;Rua Oscar Freire;432.0;Rua Augusta;3.0;744800.0;0.0;Moema;Moderno e funcional;0.0;9800.0;1100.0;27/05/2017;26/06/2017;;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;78.0;Espaçoso e iluminado;1.0;0.0;0;Excelente oportunidade
Excelente oportunidade;Casa;Rua Bela Cintra;42.0;Rua Augusta;1.0;643600.0;0.0;Higienópolis;;0.0;25.185.185.185.185;300.0;30/05/2017;29/06/2017;;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Moderno e funcional;Moderno e funcional;306.0;Excelente oportunidade;1.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Cobertura;Rua Augusta;357.0;Av. Paulista;2.0;585900.0;0.0;Pinheiros;;0.0;44.166.666.666.667;0.0;02/06/2017;02/07/2017;;Imóvel bem localizado;Imóvel bem localizado;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;113.0;Totalmente reformado;4.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Cobertura;Rua Augusta;45.0;Rua Augusta;2.0;956900.0;0.0;Pinheiros;;0.0;80.952.380.952.381;0.0;05/06/2017;05/07/2017;;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;125.0;Moderno e funcional;0.0;0.0;0;Totalmente reformado
Excelente oportunidade;Cobertura;Rua Oscar Freire;415.0;Rua Oscar Freire;5.0;3958800.0;0.0;Vila Mariana;;0.0;586.529.318.542;5100.0;08/06/2017;08/07/2017;;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;Totalmente reformado;623.0;Espaçoso e iluminado;5.0;5.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Ponto Comercial;Rua Augusta;666.0;Av. Paulista;5.0;0.0;7100.0;Vila Mariana;;0.0;0.0;6800.0;11/06/2017;11/07/2017;;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Moderno e funcional;Totalmente reformado;175.0;Espaçoso e iluminado;3.0;0.0;0;Espaçoso e iluminado
Imóvel bem localizado;Cobertura;Av. Ipiranga;943.0;Rua Bela Cintra;1.0;617800.0;0.0;Higienópolis;Imóvel bem localizado;0.0;11.228.070.175.439;1100.0;14/06/2017;14/07/2017;Moderno e funcional;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Moderno e funcional;Totalmente reformado;56.0;Imóvel bem localizado;1.0;0.0;0;Totalmente reformado
Imóvel bem localizado;Sobrado;Rua Oscar Freire;180.0;Av. Angélica;2.0;565700.0;0.0;Vila Mariana;Moderno e funcional;0.0;64.367.816.091.954;1100.0;17/06/2017;17/07/2017;;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;87.0;Moderno e funcional;2.0;1.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Cobertura;Rua Augusta;2801.0;Rua Bela Cintra;2.0;0.0;1300.0;Pinheiros;Espaçoso e iluminado;26.767.857.142.857;0.0;2100.0;20/06/2017;20/07/2017;;Excelente oportunidade;Moderno e funcional;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;64.0;Excelente oportunidade;1.0;0.0;0;Excelente oportunidade
Totalmente reformado;Casa;Av. Ipiranga;3630.0;Rua Oscar Freire;1.0;421500.0;0.0;Higienópolis;Excelente oportunidade;0.0;17.219.827.019.927;0.0;23/06/2017;23/07/2017;;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Espaçoso e iluminado;Moderno e funcional;23.0;Totalmente reformado;0.0;1.0;2022;Espaçoso e iluminado
Espaçoso e iluminado;Studio;Rua Oscar Freire;495.0;Av. Angélica;3.0;5640000.0;0.0;Pinheiros;;0.0;25.276.935.079.088;0.0;26/06/2017;26/07/2017;;Excelente oportunidade;Moderno e funcional;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;250.0;Moderno e funcional;4.0;3.0;0;Totalmente reformado
Moderno e funcional;Studio;Av. Paulista;495.0;Av. Paulista;3.0;7378500.0;0.0;Tatuapé;;0.0;21.140.511.733.768;4500.0;28/06/2017;28/07/2017;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;385.0;Excelente oportunidade;4.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Ponto Comercial;Av. Ipiranga;801.0;Av. Angélica;2.0;948800.0;0.0;Vila Mariana;Espaçoso e iluminado;0.0;13.333.333.333.333;1800.0;01/07/2017;31/07/2017;;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;77.0;Totalmente reformado;2.0;0.0;1994;Totalmente reformado
Totalmente reformado;Cobertura;Av. Angélica;52.0;Rua Augusta;2.0;256700.0;0.0;Tatuapé;Totalmente reformado;0.0;50.909.090.909.091;600.0;04/07/2017;03/08/2017;;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;Moderno e funcional;52.0;Imóvel bem localizado;1.0;0.0;0;Totalmente reformado
Espaçoso e iluminado;Apartamento;Av. Ipiranga;273.0;Rua Augusta;0.0;873000.0;0.0;Moema;;0.0;0.0;0.0;07/07/2017;06/08/2017;;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Totalmente reformado;Totalmente reformado;0.0;Totalmente reformado;1.0;0.0;0;Espaçoso e iluminado
Excelente oportunidade;Casa;Rua Oscar Freire;270.0;Rua Bela Cintra;2.0;326800.0;0.0;Moema;Imóvel bem localizado;0.0;86.842.105.263.158;300.0;10/07/2017;09/08/2017;;Totalmente reformado;Excelente oportunidade;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;37.0;Moderno e funcional;0.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Studio;Rua Bela Cintra;928.0;Av. Angélica;2.0;0.0;3200.0;Higienópolis;Excelente oportunidade;42.857.142.857.143;0.0;5400.0;13/07/2017;12/08/2017;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Espaçoso e iluminado;77.0;Excelente oportunidade;1.0;0.0;0;Moderno e funcional
Imóvel bem localizado;Studio;Rua Bela Cintra;459.0;Av. Ipiranga;2.0;568200.0;0.0;Tatuapé;Imóvel bem localizado;0.0;10.566.018.867.925;0.0;16/07/2017;15/08/2017;;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;52.0;Espaçoso e iluminado;1.0;0.0;0;Totalmente reformado
